t1octyp,t1octyp_past,t1experience,t1senr,t1found,t1inno,t1owner,t1coown,t1coown_number,t1perown,t1func,t1mbus,t1mbus_number,t1indu,t1opnec,t1count,t1age_4,t1sex,t1lang,t1edu,t1child,t1chin,t2emp,t2emp_number,t2act1,t2act2,t2act3,t2sumcap,t2capit,t1timebuiss,t1errsel,t1errund_1,t1errorcount,t1errser_mean,t1errser_sum,t1errper,t1errpre,t2errsel,t2errund_1,t2errorcount,t2errser_mean,t2errser_sum,t2errper,t2errpre,t3errsel,t3errund_1,t3errorcount,t3errser_mean,t3errser_sum,t3errper,t3errpre,t4errsel,t4errund_1,t4errorcount,t4errser_mean,t4errser_sum,t4errper,t4errpre,t1accri,t1bas,t1bis,t1chal,t1exploi,t1explor,t1goproadv,t1gopropro,t1hindr,t1threat,t1thriv,t2accri,t2chal,t2exploi,t2explor,t2goproadv,t2gopropro,t2hindr,t2threat,t2thriv,t3accri,t3chal,t3exploi,t3explor,t3goproadv,t3gopropro,t3hindr,t3threat,t3thriv,t4accri,t4bas,t4bis,t4chal,t4exploi,t4explor,t4goproadv,t4gopropro,t4hindr,t4threat,t4thriv
1,3,NA,2,1,NA,1,2,2,34,1,1,2,6,1,78,28,1,4,4,2,1,1,NA,2,2,1,7,3,1007,7,4,5,4.2,21,3,5,6,4,4,3.5,14,3,3,3,2,4,3.8,19,8,6,7,4,5,3.8,19,4,3,4.333333333333333,6.076923076923077,5,6.666666666666667,5,5.428571428571429,3.5,3.5,5.333333333333333,6,5.7,5,6.333333333333333,4.857142857142857,5.285714285714286,3,3,6,5.333333333333333,6.2,4.5,4.666666666666667,4.571428571428571,5,2.5,2.5,5,5,6,4.666666666666667,6.230769230769231,5.285714285714286,4.666666666666667,4.142857142857143,5.428571428571429,2.5,3,5.333333333333333,4.333333333333333,6.4
1,7,NA,1,1,1,1,2,1,90,1,2,NA,7,1,78,25,2,1,4,2,NA,2,4,1,1,1,1,3,850,6,5,4,3.25,13,5,3,1,4,5,3.4,17,4,4,1,5,4,5,20,4,3,1,5,7,3,21,4,5,3.5,5.3076923076923075,5.571428571428571,3.3333333333333335,4.285714285714286,5.285714285714286,2.5,4,6,6.666666666666667,4.8,4.5,4,3.7142857142857144,5.714285714285714,3.5,3,6,6,4.7,4.333333333333333,2.3333333333333335,4.714285714285714,4.857142857142857,3,2,5.666666666666667,6,4.1,3.3333333333333335,5.923076923076923,5.857142857142857,5.666666666666667,5.428571428571429,4.285714285714286,4,3,5.666666666666667,7,5.3
1,1,2,1,1,NA,1,2,1,50,2,2,NA,6,1,78,22,1,6,4,2,1,1,NA,2,1,1,2,1,580,5,2,7,2.5714285714285716,18,2,2,5,4,4,2,8,3,4,2,4,5,1.8,9,3,3,3,2,1,2,2,2,2,5.666666666666667,5.923076923076923,4.857142857142857,1,4.142857142857143,4.285714285714286,3.5,2,4.333333333333333,3.6666666666666665,4.8,3.5,3,4.142857142857143,4.714285714285714,3.5,4,3,2.6666666666666665,4.3,3.5,2.6666666666666665,2.857142857142857,2.857142857142857,2,3,4.666666666666667,2.6666666666666665,3,4,3.769230769230769,3.5714285714285716,2.3333333333333335,4.142857142857143,4.428571428571429,3.5,2.5,4,3.6666666666666665,4.3
3,4,NA,1,1,3,1,2,1,50,1,2,NA,3,1,78,24,1,1,4,2,1,2,2,1,1,1,1,2,488,3,4,1,4,4,3,3,1,5,5,4,20,3,3,1,5,3,4,12,4,4,6,5,3,2.6666666666666665,8,4,3,5.333333333333333,5.769230769230769,5.714285714285714,6.666666666666667,4.285714285714286,5.142857142857143,1.5,3.5,3.3333333333333335,5.333333333333333,5.4,5,6.333333333333333,4.285714285714286,4,4,4,4.666666666666667,5.333333333333333,6.2,5.666666666666667,4.333333333333333,4.142857142857143,4.142857142857143,2.5,2,4.333333333333333,6.333333333333333,6,5.333333333333333,5.769230769230769,5.571428571428571,4.666666666666667,4,4,2,3,4.666666666666667,3.6666666666666665,5.8
1,3,NA,1,1,2,1,2,1,50,5,2,NA,3,1,78,36,1,4,2,1,3,1,NA,1,1,2,2,3,63,1,5,2,5,10,4,4,8,5,1,4,4,4,2,1,5,5,3.2,16,5,2,3,5,3,4.333333333333333,13,5,2,3.8333333333333335,5.153846153846154,4.857142857142857,4.666666666666667,5,5.142857142857143,3,3,3.3333333333333335,3.3333333333333335,6.3,3.3333333333333335,5.333333333333333,5.285714285714286,4.714285714285714,3,3,6.333333333333333,6,6.6,4,4.333333333333333,6.428571428571429,5.714285714285714,1.5,1,6.333333333333333,7,7,4.333333333333333,6.3076923076923075,5,6.333333333333333,5,5.285714285714286,2.5,2.5,5,6.333333333333333,6.3
1,3,NA,2,1,NA,1,2,1,50,3,1,2,5,1,78,25,1,3,4,2,1,2,5,1,1,1,1,5,855,8,5,5,4.8,24,3,5,7,5,2,2,4,3,5,3,5,2,2.5,5,3,5,3,5,2,2.5,5,3,4,3.6666666666666665,6.384615384615385,2.857142857142857,7,5.714285714285714,5.714285714285714,3,4.5,2.6666666666666665,2.6666666666666665,6.3,2.8333333333333335,5,5.857142857142857,5.285714285714286,3,5,3.3333333333333335,2.3333333333333335,6.9,3.8333333333333335,6,4.571428571428571,4.571428571428571,3.5,5,3.3333333333333335,2,6.3,4,6,2.7142857142857144,6.333333333333333,6,5.714285714285714,3,5,1,1,6.6
1,1,15,2,1,1,2,NA,NA,NA,NA,NA,NA,6,1,78,0,1,3,4,2,2,1,NA,1,2,2,2,2,7,6,4,4,3.75,15,4,2,5,3,3,3,12,4,3,6,4,3,3.3333333333333335,10,3,2,5,3,4,3,12,4,2,5.166666666666667,5,4.428571428571429,5.666666666666667,5.571428571428571,5.142857142857143,3,1.5,6,6,4.5,4.666666666666667,4,3.857142857142857,3.857142857142857,3.5,4,5,5,5.8,3.6666666666666665,4.333333333333333,3,4.571428571428571,4,4,6,6,5.3,3.6666666666666665,3.923076923076923,4.142857142857143,2,4.428571428571429,3.7142857142857144,3.5,3,5,5,5.3
1,3,NA,1,1,1,1,2,8,12,3,2,NA,6,1,78,23,1,4,4,2,1,1,NA,1,2,1,2,6,655,3,3,2,2,4,2,2,6,5,2,3,6,3,1,2,4,1,2,6,4,4,7,4,2,4,8,3,2,5.166666666666667,5,4,4.333333333333333,4.857142857142857,4.857142857142857,3.5,2.5,5,5.666666666666667,4.1,4.5,5.333333333333333,4.714285714285714,4.571428571428571,3.5,4,4.333333333333333,4.666666666666667,5,2,5,5.428571428571429,2.857142857142857,4,3.5,4.666666666666667,4,4.9,3.3333333333333335,5.923076923076923,3.857142857142857,2.3333333333333335,4.714285714285714,4.857142857142857,3,3.5,3.6666666666666665,5,5.4
1,7,NA,1,1,1,1,2,2,75,1,2,NA,7,1,78,25,1,3,4,2,1,2,5,1,1,1,1,1,NA,8,3,4,2.75,11,3,2,1,3,1,4,4,4,2,1,2,2,2,4,4,3,1,2,1,2,2,4,3,4.5,5.461538461538462,5.571428571428571,5.333333333333333,5.714285714285714,3.2857142857142856,2.5,2.5,4,3,5,6,5.666666666666667,3.2857142857142856,3,2,2,2,2,4.5,4.5,6,2.2857142857142856,1.8571428571428572,2,2,2,2,5.9,6,5.769230769230769,4.142857142857143,5.666666666666667,3,3.5714285714285716,2,2,2.6666666666666665,3,5.8
1,4,NA,1,1,1,1,2,1,100,1,2,NA,6,1,78,25,1,5,4,2,1,1,NA,2,2,2,2,6,5,5,4,2,3,6,4,4,5,4,3,3,9,3,3,8,5,3,1,3,1,1,3,5,1,2.5,5,5,5,2.3333333333333335,6.076923076923077,4.714285714285714,6.333333333333333,5,4.857142857142857,4.5,2.5,5,4.333333333333333,6,2.1666666666666665,6,5.571428571428571,4.857142857142857,4.5,4,1.6666666666666667,3.6666666666666665,7,4,7,5,4,3,3,1,1,4,4,4,4,4,4,4,3,3,4,4.333333333333333,4
